Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Vehicle Number,Type of Vehicle
24R1121,393602,424489,2,27/04/2015,1644,3,A646,1,1,1,Calderdale,1,3,1,16,2,1
24U0332,409639,419993,2,27/04/2015,1600,6,U,1,1,1,Calderdale,1,3,1,19,2,1
2510045,401697,419152,1,01/05/2015,55,3,A58,1,4,1,Calderdale,1,3,1,23,1,9
2510045,401697,419152,1,01/05/2015,55,3,A58,1,4,1,Calderdale,2,3,2,23,1,9
2511325,398334,418220,1,01/05/2015,1840,3,A58,1,1,1,Calderdale,2,3,2,19,1,9
2511325,398334,418220,1,01/05/2015,1840,3,A58,1,1,1,Calderdale,2,3,2,19,1,9
2511325,398334,418220,1,01/05/2015,1840,3,A58,1,1,1,Calderdale,1,3,2,20,1,9
2520561,409441,424999,1,02/05/2015,1145,6,U,2,1,2,Calderdale,3,3,2,64,1,9
2530335,416377,422117,2,03/05/2015,720,1,M62,2,1,2,Calderdale,1,3,1,30,2,19
2530417,408696,425975,2,03/05/2015,936,3,A629,2,1,2,Calderdale,2,3,2,43,1,9
2530486,401253,426033,2,03/05/2015,1034,3,A646,2,1,2,Calderdale,1,3,2,31,1,9
2530547,390101,426109,2,03/05/2015,1126,3,A646,1,1,1,Calderdale,1,3,1,22,1,9
2530547,390101,426109,2,03/05/2015,1126,3,A646,1,1,1,Calderdale,1,3,1,20,2,9
2531079,400808,424328,2,03/05/2015,1749,4,B6138,1,1,1,Calderdale,1,3,1,32,1,3
2540116,408974,424980,2,04/05/2015,122,6,U,1,4,1,Calderdale,1,3,1,22,1,9
2540116,408974,424980,2,04/05/2015,122,6,U,1,4,1,Calderdale,1,3,1,42,2,8
2570046,405150,424082,2,07/05/2015,46,6,U,1,4,1,Calderdale,1,3,1,19,2,3
2581082,410600,421397,2,08/05/2015,1640,3,A628,1,1,1,Calderdale,1,3,2,24,1,9
2581503,407121,427861,2,08/05/2015,2102,6,U,2,1,5,Calderdale,1,3,1,41,1,9
2591722,393396,421618,2,09/05/2015,2250,3,A6033,1,1,1,Calderdale,1,3,1,43,2,1
25A0583,405784,424179,2,09/05/2015,2325,3,A6139,1,7,1,Calderdale,1,3,2,60,2,9
25A0907,399348,427374,2,10/05/2015,1415,6,U,1,1,1,Calderdale,1,3,1,48,2,1
25B1322,404160,416666,3,11/05/2015,1733,1,M62,1,1,1,Calderdale,1,3,2,25,1,9
25B1322,404160,416666,3,11/05/2015,1733,1,M62,1,1,1,Calderdale,1,3,2,39,2,9
